2025-08-27 04:25:20 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:27:32 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:29:16 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:30:39 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:30:46 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:32:08 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:33:51 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:35:03 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:35:40 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:36:48 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:36:53 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:37:50 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:37:56 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:41:07 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:41:16 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:42:24 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:42:34 | src.dataingestion.initialscan | INFO | Running initial scan...
2025-08-27 04:42:34 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:43:14 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 04:43:22 | src.dataingestion.initialscan | INFO | Running initial scan...
2025-08-27 04:43:22 | src.dataingestion.startfilewatcher | INFO | Watching folder: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents
2025-08-27 04:43:54 | src.dataingestion.watcher | INFO | New file detected: C:\Users\abhimaku\OneDrive - AMDOCS\Documents\Agentic AI Learning\AgentAdmin\Documents\firsttst.pdf
2025-08-27 04:43:54 | src.dataingestion.fileprocessor | INFO | Change detected in: firsttst.pdf
2025-08-27 04:44:05 | src.dataingestion.startfilewatcher | INFO | Stopped watching.
2025-08-27 18:22:20 | src.dataingestion.initialscan | INFO | Running initial scan...
2025-08-27 18:22:20 | src.dataingestion.fileprocessor | INFO | Change detected in: testemail.msg
2025-08-27 18:27:28 | src.dataingestion.initialscan | INFO | Running initial scan...
2025-08-27 18:27:28 | src.dataingestion.fileprocessor | INFO | Change detected in: testemail.msg
2025-08-27 18:27:28 | src.dataingestion.fileprocessor | INFO | Found Email
2025-08-27 18:29:14 | src.dataingestion.initialscan | INFO | Running initial scan...
2025-08-27 18:29:14 | src.dataingestion.fileprocessor | INFO | Change detected in: testemail.msg
2025-08-27 18:29:14 | src.dataingestion.fileprocessor | INFO | Found Email
2025-08-27 18:31:15 | src.dataingestion.initialscan | INFO | Running initial scan...
2025-08-27 18:31:15 | src.dataingestion.fileprocessor | INFO | Change detected in: testemail.msg
2025-08-27 18:31:15 | src.dataingestion.fileprocessor | INFO | Found Email
2025-08-27 18:32:17 | src.dataingestion.initialscan | INFO | Running initial scan...
